contigName	contigLen	totalAvgDepth	ERR3211994.bam	ERR3211994.bam-var
ERR3211994_0	1439	12.7843	12.7843	17.733
ERR3211994_1	2423	9.64936	9.64936	10.4664
ERR3211994_2	1692	6.77302	6.77302	4.9426
ERR3211994_3	1837	9.26675	9.26675	6.76271
ERR3211994_4	1497	7.08241	7.08241	3.7577
ERR3211994_5	2384	12.8384	12.8384	12.149
ERR3211994_6	2343	7.71819	7.71819	7.88218
ERR3211994_7	1314	9.15464	9.15464	10.3389
ERR3211994_8	1501	12.926	12.926	15.0746
ERR3211994_9	1550	10.1829	10.1829	14.241
ERR3211994_10	1013	5.9664	5.9664	2.65665
ERR3211994_11	1067	15.5125	15.5125	18.7523
ERR3211994_12	1034	47.1471	47.1471	62.7597
ERR3211994_13	4731	10.375	10.375	12.7144
ERR3211994_14	1096	13.1068	13.1068	21.2785
ERR3211994_15	1847	7.71833	7.71833	3.9996
ERR3211994_16	1931	8.70017	8.70017	15.2516
ERR3211994_17	1112	8.55405	8.55405	7.59177
ERR3211994_18	11875	18.6878	18.6878	31.5604
ERR3211994_19	1356	10.7537	10.7537	12.0015
ERR3211994_20	1020	7.01724	7.01724	5.99394
ERR3211994_21	1446	8.24151	8.24151	10.0289
ERR3211994_22	1128	31.0593	31.0593	51.018
ERR3211994_23	1201	71.5119	71.5119	69.4119
ERR3211994_24	1722	11.3632	11.3632	8.6732
ERR3211994_25	1237	8.78289	8.78289	4.68393
ERR3211994_26	1060	9.87912	9.87912	6.13718
ERR3211994_27	2240	12.4081	12.4081	16.9837
ERR3211994_28	1447	8.16962	8.16962	5.83231
ERR3211994_29	3686	12.7732	12.7732	15.083
ERR3211994_30	1953	10.2429	10.2429	15.9131
ERR3211994_31	1031	13.7571	13.7571	18.4909
ERR3211994_32	11130	13.8076	13.8076	26.5375
ERR3211994_33	1820	7.34192	7.34192	4.16639
ERR3211994_34	1022	12.1411	12.1411	5.02369
ERR3211994_35	1018	15.0599	15.0599	38.3955
ERR3211994_36	2050	9.99368	9.99368	11.1206
ERR3211994_37	1020	6.21494	6.21494	1.47158
ERR3211994_38	2079	11.7828	11.7828	35.1764
ERR3211994_39	1673	7.63821	7.63821	3.35062
ERR3211994_40	2471	17.1827	17.1827	20.5417
