File	Length_scaffolds	N_scaffolds	N50	Length_contigs	N_contigs	Ambigious_bases
ERR3211994_maxbin_06_sub	1070252	667	1456	1070252	667	0
ERR3211994_metabat_02	2723375	1003	2666	2723375	1003	0
ERR3211994_metabat_03	2676965	308	12656	2676965	308	0
ERR3211994_metabat_06	708925	281	2500	708925	281	0
ERR3211994_metabat_09	2288084	245	14701	2288084	245	0
